scenario,scale,architecture,regime,real_pct,synthetic_pct,seed,eval_domain,eval_dataset,metric,class,value,selected_seed,source_file
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50_95,pedestrian,0.2658062172845718,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50,pedestrian,0.5670837927791521,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_75,pedestrian,0.22578448544316965,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_1,pedestrian,0.17283924400084943,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_10,pedestrian,0.364918241664897,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_100,pedestrian,0.4102994266298577,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50_95,cyclist,0.014093404910899467,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50,cyclist,0.06147538990771901,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_75,cyclist,0.0007538221863183774,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_1,cyclist,0.05113706207744314,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_10,cyclist,0.11020282728948985,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_100,cyclist,0.12003687768899815,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50_95,all,0.1651853088093681,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50,all,0.34933063274172926,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_75,all,0.1406230693423357,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_1,all,0.09657780750513972,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_10,all,0.22911337922083103,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_100,all,0.25578356005266295,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50_95,car,0.27826193336316846,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50,car,0.5234258383401458,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_75,car,0.27247456426101424,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_1,car,0.12239860497279095,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_10,car,0.3337722858603169,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_100,car,0.36955894290610625,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50_95,pedestrian,0.21066036277370448,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50,pedestrian,0.48688504658606635,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_75,pedestrian,0.1493514080013683,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_1,pedestrian,0.14686770014865153,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_10,pedestrian,0.3085156084094287,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AR_100,pedestrian,0.34954342747929495,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,synthetic_only,0,100,3,external,KITTI,AP_50_95,cyclist,0.006633630291231378,True,ADD\One-Stage\External\project\metrics_kitti\synthetic\SYNTHIA_yolov8m_seed3_kitti_eval\internal\metrics.json
