scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.17658562920135212,0.0016100110980511928,0.1748487226767251,0.1780281055724157,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.16691902925502977,0.0005715333485847837,0.16633215816007,0.1674738784727147,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,car,0.378500673782516,0.0024961834737108014,0.3759994060482794,0.3809917417372331,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,cyclist,0.1580094689011526,0.0005349203068739383,0.1573951038898784,0.1583719366615838,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.1390616774711704,0.000610115377973539,0.1385990846125748,0.1397531332857056,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50,car,0.7116037575179638,0.0004350788450600668,0.7111791107838619,0.7120485673681298,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50,cyclist,0.3070777324656327,0.003195174689394433,0.3039747235286602,0.3103577168872999,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50,pedestrian,0.5351640616026346,0.003454218815744941,0.531219914386049,0.5376503381645077,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,car,0.422894529539293,0.00019691945007005923,0.4226717951498662,0.4230455112975013,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,cyclist,0.15808657192336914,0.0008947014722201412,0.1572449203598301,0.1590262500045333,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,pedestrian,0.25811502913771717,0.0014191918575045604,0.2570611000370755,0.2597287460133278,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_75,car,0.4156187264722308,0.0009258630911086928,0.4147280733980534,0.4165761812057422,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_75,cyclist,0.14195684472028788,0.014727576693686016,0.125262032944474,0.1531085259327686,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AP_75,pedestrian,0.2119027205680085,0.006717614416520858,0.204285191429422,0.2169788764802334,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_1,car,0.07753578095830736,0.00023915286756661535,0.0772934202338453,0.0777715913929191,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_1,cyclist,0.13518987341772146,0.006049520579923287,0.1286075949367088,0.140506329113924,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_1,pedestrian,0.10605586008874963,0.0009997764553487656,0.1051944661968154,0.107152179587575,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_10,car,0.3988984595901702,0.0005417205872951614,0.3984999836242754,0.3995152785510759,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_10,cyclist,0.2643881856540084,0.00969105635102491,0.2554430379746835,0.2746835443037975,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_10,pedestrian,0.30864004176455234,0.0017465514965617414,0.3066301226833725,0.309788566953798,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_100,car,0.49233397744516866,0.0004561317904680232,0.4920512232666295,0.4928601840631448,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_100,cyclist,0.2822784810126582,0.013588594329437662,0.2681012658227847,0.2951898734177215,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,real_internal,BDD,AR_100,pedestrian,0.3804489689376142,0.0016244696301228193,0.3787000783085357,0.3819107282693814,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,car,0.6820148559428366,0.0009878828453459495,0.6809067413317419,0.6828033786459115,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,cyclist,0.5305186246859993,0.0005894812297913278,0.5301432746546755,0.5311980540974375,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.5215941810389341,0.0002826426420725847,0.5213482879693476,0.5219029751237912,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,car,0.4850321649227461,0.0008357205119814759,0.4842181195564222,0.4858879931097976,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.33724219729276067,0.0006905145840459111,0.3364905662414596,0.3378484438554269,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.31195030901260407,0.00027261042258764604,0.3117230997901718,0.3122525890579252,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,car,0.5066886151440406,0.0018907376805956516,0.5051283833908989,0.5087912840948549,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,cyclist,0.3489131692339746,0.00037108876407266435,0.3484858639468404,0.3491544717330816,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.30748799094085905,0.0019458564619323415,0.3052535851446026,0.3088099630351221,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_1,car,0.07911713015610457,0.00023483545314997146,0.0788483407422723,0.0792825390261552,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_1,cyclist,0.050138166830593335,0.00016689406400259322,0.0500281017282562,0.0503301953070113,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_1,pedestrian,0.013012092793682067,5.251124299897283e-05,0.0129611920039486,0.013066078479763,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_10,car,0.41364967779730516,0.00024340209361321116,0.4133981184741032,0.4138840070298769,3
